sales_id,order_id,product_id,price_per_unit,quantity,total_price,,,,,,,,,
0,1,218,105,2,210,,,,,,,,,
1,1,481,110,1,110,,,,,,,,,
2,1,2,114,3,342,,,,,,,,,
3,1,1002,111,2,222,,,,,,,,,
4,1,691,119,3,357,,,,,,,,,
5,1,981,111,3,333,,,,,,,,,
6,2,915,104,1,104,,,,,,,,,
7,2,686,119,1,119,,,,,,,,,
8,2,1091,99,3,297,,,,,,,,,
9,2,1196,90,1,90,,,,,,,,,
10,2,157,116,3,348,,,,,,,,,
11,2,1174,98,2,196,,,,,,,,,
12,3,54,119,1,119,,,,,,,,,
13,3,6,114,2,228,,,,,,,,,
14,3,1010,111,2,222,,,,,,,,,
15,4,1033,95,1,95,,,,,,,,,
16,4,1184,98,3,294,,,,,,,,,
17,4,769,102,1,102,,,,,,,,,
18,4,923,104,3,312,,,,,,,,,
19,4,12,114,2,228,,,,,,,,,
20,5,148,116,2,232,,,,,,,,,
21,5,475,110,2,220,,,,,,,,,
22,5,1,114,3,342,,,,,,,,,
23,5,830,95,3,285,,,,,,,,,
24,5,1209,90,3,270,,,,,,,,,
25,5,635,115,3,345,,,,,,,,,
26,5,639,115,3,345,,,,,,,,,
27,5,695,119,1,119,,,,,,,,,
28,6,38,119,2,238,,,,,,,,,
29,6,473,110,2,220,,,,,,,,,
30,6,242,105,1,105,,,,,,,,,
31,6,804,114,2,228,,,,,,,,,
32,7,850,100,2,200,,,,,,,,,
33,7,1162,98,3,294,,,,,,,,,
34,8,765,102,1,102,,,,,,,,,
35,8,256,117,2,234,,,,,,,,,
36,9,203,112,1,112,,,,,,,,,
37,9,486,110,2,220,,,,,,,,,
38,9,708,112,1,112,,,,,,,,,
39,9,1040,95,2,190,,,,,,,,,
40,9,917,104,3,312,,,,,,,,,
41,9,1061,94,2,188,,,,,,,,,
42,9,35,119,2,238,,,,,,,,,
43,10,325,108,3,324,,,,,,,,,
44,10,860,100,2,200,,,,,,,,,
45,10,426,92,3,276,,,,,,,,,
46,11,877,113,2,226,,,,,,,,,
47,11,780,114,3,342,,,,,,,,,
48,12,782,114,1,114,,,,,,,,,
